HOLE_ID,EASTING,NORTHING,ELEVATION,TD,PROJECT_FK,START_DATE,END_DATE,GEOLOGIST_NAME,GEOLOGY_GROUP
PSM-0037,2399605.452,4810749.653,612.676,75,SMAR,26-01-2019 0:00,26-01-2019 0:00,Sabrina Paredes,NEAR_MINES
RMV-0002,2394795.202,4808054.362,644,103.3,EK,08-10-2012 0:00,11-10-2012 0:00,,CN_INFILL
RMV-0004,2394849.546,4808079.045,641.417,61.7,EK,14-10-2012 0:00,15-10-2012 0:00,,CN_INFILL
RMV-0006,2394893.636,4808067.41,627.462,83.2,EK,19-10-2012 0:00,21-10-2012 0:00,,CN_INFILL
RMV-0019,2394846.954,4808033.801,633.23,79.3,EK,25-02-2013 0:00,28-02-2013 0:00,,CN_INFILL
RMV-0025,2394985.177,4808054.939,583.084,94.6,EK,17-03-2013 0:00,19-03-2013 0:00,,CN_INFILL
SCDD-17018,2407619.513,4805309.369,897.874,476,SCAP,31-07-2017 0:00,01-08-2017 0:00,Patricio Brividoro,CerroNegro
SCDD-17028,2406190.492,4806157.632,761.116,230,SCAP,24-08-2017 0:00,25-08-2017 0:00,Analia Bruna,CerroNegro
SCDD-17030,2407319.697,4804949.266,902.8,691.5,SCAP,26-08-2017 0:00,03-09-2017 0:00,Analia Bruna,CerroNegro
SCDD-17033,2407145.086,4805826.1,861.7228,422,SCAP,04-09-2017 0:00,07-09-2017 0:00,Lucas Suarez,CerroNegro
SCDD-17037,2406470.016,4806493.263,788.4367,404,SCAP,10-09-2017 0:00,16-09-2017 0:00,Marcelo Ghidini,CerroNegro
SCDD-17040,2407280.409,4805519.689,893.2302,431,SCAP,15-09-2017 0:00,19-09-2017 0:00,Matias Reinoso,CerroNegro
SCDD-17044,2407652.287,4805499.486,905.2517,268.5,SCAP,22-09-2017 0:00,26-09-2017 0:00,Marcelo Ghidini,CerroNegro
SCDD-17046,2407483.439,4805603.247,873.2027,206.5,SCAP,27-09-2017 0:00,,Marcelo Ghidini,CerroNegro
SCDD-17054,2408123.909,4805443.147,973.3029,242,SCAP,04-11-2017 0:00,,Marcelo Ghidini,CerroNegro
SCDD-17057,2407829.849,4805400.892,935.9591,317.5,SCAP,10-11-2017 0:00,15-11-2017 0:00,Lucas Suarez,CerroNegro
SCDD-17068,2407438.935,4805087.556,906.31,472,SCAP,28-11-2017 0:00,06-12-2017 0:00,Analia Bruna,CerroNegro
SCDD-18001,2407776.4,4805487.8,927.83,289,SCAP,17-01-2018 0:00,,Maria Narvaiza,CerroNegro
SCDD-18010,2407684.785,4805539.532,912.0775,187.5,SCAP,22-01-2018 0:00,,Maria Narvaiza,CerroNegro
SCDD-18014,2407529.231,4805663.213,878.6535,101,SCAP,26-01-2018 0:00,,Mariana Vargas,CerroNegro
SCDD-18057,2407878.56,4805454.08,946.79,221,SCAP,24-02-2018 0:00,26-02-2018 0:00,Paola Santucho,CerroNegro
